06 52 10	+12 13.7	 044.0	  -2  -48  -31
06 52 14	+25 26.4	 052.7	 +13   +6   -5
06 52 59	+40 08.8	 038.1	 -54  -55  +10
06 52 59	+40 08.8	 038.1	 -54  -54  +11
06 53 52	+30 49.6	 072.8	  +9  -19   -2
06 54 41	-74 39.8	 041.0	 -45   -9   -6
06 55 30	-35 26.4	 068.4	  -6   -8   -4
06 56 07	-12 55.3	 036.8	 +13   -3   +4
06 57 49	+48 27.4	 033.2	 +23  -56  +25
06 59 11	-25 52.6	 067.4	  -5  -14  +11
06 59 25	-61 16.1	 061.5	 -21  -17  -15
06 59 56	-67 50.9	 041.1	 -22  -40  -14
07 00 20	+29 25.4	 058.6	 -19  -74   -8
07 01 56	-10 25.3	 061.5	 +98  +25  -34
07 02 18	-43 29.5	 055.0	 -54  -74  -20
07 02 25	-43 32.3	 050.2	 -50  -73  -21
07 02 25	-43 32.3	 050.2	 -51  -77  -22
07 02 35	+27 32.9	 059.7	 +23   -3  -14
07 06 39	+38 37.5	 164.6	 -44  -20   -8
07 09 27	-48 51.1	 040.6	 -32  -58  -13
07 11 08	-46 40.5	 046.1	 -15   +5   -9
07 12 08	+47 19.9	 039.3	 -80   -2  +33
07 12 42	-63 15.9	 052.3	 -57  +18   +0
07 13 33	-12 57.8	 043.2	 -72  -15  -40
